sentence,exrecise,feeling
i rock climbed for an hour. it was very tiring and my hands hurt.,rock climbed,"tiring, hands hurt"
i rode a bicycle for 30 minutes and i feel refreshed,rode,refreshed
i just rode my bike for 40 miles i felt out of shape,rode,out of shape
i rode my bike for 1 hour. i felt confident and in shape.,rode,"confident, in shape"
i rode a bike for 15 minutes i felt energized,rode,energized
i rode my bike for 20 miles.  it was hard but i felt good when i finished,rode,good
i rode 6 miles on my bike i felt motivated,rode,motivated
i rode my bike this morning on the bike path my legs were really sore and i was winded after the bike ride,rode,"sore, winded"
i rode my bike for 10 minutes i was excited,rode,excited
i rode my bike for ten miles. i feel exhilerated.,rode,exhilerated
i rode a bicycle for 30 minutes  my leg ache alot,rode,ache alot
i rode my bike two miles. my legs were so sore after,rode,sore
rode a bicycle i'm so out of breathe,rode,out of breathe
"i rode a stationary bike 10.55 miles twice. a little stiff and sore, but felt exuberant when i completed the rides.",rode,exuberant
i rode bike 6 miles i feel a little tired,rode,little tired
i rode my bike 10 miles i feel rejuvenated,rode,rejuvenated
i rode my bike for 20 minutes. i felt invigorated.,rode,invigorated
i rode a stationary bike for 30 minutes. i felt weak in the legs - especially my calves.,rode,weak
i rode 2 miles on an exercise bike. i'm exhausted.,rode,exhausted
i rode my bike 10 miles i felt exhilirated when it was over.,rode,exhilirated
i rode the stationary bike for half an hour.   i fell like my legs are shaky.,rode,shaky
i rode my bike today. i love riding my bike.,rode,love
i just rode my bicycle for 30 miles. my legs feel tired but overall i feel pretty strong.,rode,"tired, pretty strong"
i rode my bicycle two miles today.  i felt exhausted when i got home.,rode,exhausted
i rode my horse for the last hour. i need more groundwork.,rode,more groundwork
just rode the exercise bike for 30 minutes.  legs are a bit sore.,rode,sore
i rode my peleton bike i was exhausted,rode,exhausted
i rode 10 miles of bike trails. i felt thirsty and tired.,rode,"thirsty, tired"
i rode my bike for 3 miles. my legs were really sore afterwards.,rode,sore
i rode on my bike for 1 hour outside today. it was so nice to get fresh air and feel the cold hit my breath.,rode,"nice, cold"
i rode a stationary bicycle for 30 minutes. it felt really good.,rode,good
i rode my bike around the block.  i felt energized afterwards.,rode,energized
i rode a bicycle for 1 hour today. i feel really tired!,rode a bicycle,tired
i rode a bike for 2 hours. i feel exhausted.,rode a bike,exhausted
a few monthes ago a friend and i rode bikes down a bike trail. i was hungry enough to buy a sandwich after this workout.,rode bikes,hungry
rode mtn bike at penasquitos canyon easy workout - not tired or sore,rode mtn bike,not tired or sore
i played roller derby for two hours. i felt happy and free.,roller derby,"happy, free"
i roller skated around the block. i felt amazing!,roller skated,amazing
i went rollerblading by the river my leg were on fire after this workout,rollerblading,leg were on fire
i just did three sets of romanian deadlifts. my hamstrings are tight!,romanian deadlifts,tight
i used a row machine. i felt out of breath.,row machine,out of breath
i rowed for fifteen minutes on the rowing machine i felt excited as i am getting back to exercising again,rowed,excited
i rowed for 3 hours. i am exhuasted.,rowed,exhuasted
i worked out on the rower for 30 minutes today. i now feel like my arms are dead weight.,rower,dead weight
i went rowing on the erg machine. i felt tired afterwards.,rowing,tired
i went rowing for half an hour. my arms & shoulders were somewhat sore.,rowing,sore
i did 10 minutes on the rowing machine my legs are so sore.,rowing,sore
i spent 30 minutes on a rowing machine. phew! i wore myself out.,rowing,wore
i used the rowing machine for about an hour.  totally exhausted now.,rowing machine,exhausted
i used the rowing machine at the gym for 30 minutes. my shoulders and back are killing me.,rowing machine,killing me
i used the rowing machine for 30 minutes  i feel energized,rowing machine,energized
i stretched my legs on the rowing machine. i felt worn out!,rowing machine,worn out
i did four miles on the rowing machine. my arms were burning.,rowing machine,burning
i rowed 10 minutes on the rowing machine. i was completely exhausted.,rowing machine,completely exhausted
i rowed 15 minutes on the rowing machine in 5 minute intervals with 1 minute rest in between. i was exhausted and sweating much harder than the first workout.,rowing machine,"exhausted, sweating"
i did rows on the row machine. i feel nice and warmed up for other exercises.,rows,"nice, warmed up"
t bar rows good back workout,rows,good
run and felt so tired,run,tired
i then run for an hour and afterwards feel exhausted.,run,exhausted
i have run 4 miles in morning. i have feel do not energized and leg pain,run,"do not energized, leg pain"
i just run three kilo meters and i am so tired,run,tired
hot but i worked through the weather on my run,run,hot
rough headwind today on the front half of my run,run,rough
i went for a three mile run and i felt very rejuvenated when i returned home from the run.,run,rejuvenated
i complete a 1 hour run at 7:30 pace i felt good until the last 10 minutes so i started my warm down early.,run,good
i went for a run on the treadmill. i was super out of breath.,run,out of breath
i went for a mile run i felt very tired,run,tired
"i run around my neighbor hood every morning.  after my run, i feel out of breath because there are a lot of hills.",run,out of breath
10 mile run. i felt tired.,run,tired
30 minute run.   harder than expected,run,harder
"i tried to run a 10k i felt exhausted, i used to be in much better shape",run,exhausted
i did a treadmill run. i felt good going in to the jog. it was an augmented reality treadmill.,run,felt good
"i tried to run 3.5 miles in the humidity, yesterday. i felt like i was running in soup and couldn’t catch my breath.",run,couldn’t catch my breath
i would run on the treadmill for 30 minutes. i felt energized.,run,energized
i went for a two mile run outside i felt really energised after my run,run,energised
just completed a 3 mile run. i feel awful!,run,awful
"i went for a short run. i feel gross, i don't like running!",run,gross
i went for a run  it was brutal in the cold but i went further than i did in the run before,run,"brutal, went further"
"10k run on greenway average pace, good effort",run,"average, good"
"the first thing i do is run for 3 miles after this exercise i feel accomplished, but exhausted",run,"accomplished, exhausted"
i run about a mile.  i feel like im dying.,run,dying
10km run exhausted,run,exhausted
i just finished a 5 mile run. i feel so much more energized than i did before i started.,run,energized
i am going on a run. it felt like a struggle to push forward.,run,"struggle, push"
i like to run on a treadmill i feel energized and fit,run,"energized, fit"
i went for a long run i was tired but psyched that i got out to do something.,run,"tired, psyched"
i went on a run i felt exhausted physically,run,exhausted
i just did a ten kilometer run. i feel wiped out and ready to collapse on the floor.,run,"wiped out, ready to collapse"
was very long an exuasting  run at least i started somewhere,run,at least
"3 mile run feet sore, very fatigued.",run,"sore, fatigued"
i running at the morning five miles. then i feel energized.,running,energized
i went running and i felt exhilarated.,running,exhilarated
i running five miles at the morning. then i feel energized.,running,energized
i have early morning go to running. i am very energetic on the day.,running,energetic
"running, 5 miles. 7:15 pace. 67 degrees. felt fast",running,fast
running at early  morning gives good energy,running,good energy
i felt totally exhausted after running two miles.,running,exhausted
i went running and i felt great afterwards,running,great
running fast,running,fast
doing running feel better,running,better
running  i felt fresh.,running,fresh
running feel better,running,better
my second workout was running and just running nothing else.  my legs were sore but still i loved it,running,"sore, loved"
running barefoot for 20 minutes. i feel like my leg muscles are getting stronger,running,stronger
"i just  done my treadmill running. ohh, i feel very tired and sweating a lot.",running,"tired ,sweating"
i went running for 25 minutes. i am out of shape.,running,out of shape
started with warm up which is running. my blood circulation reached all my muscles and there wre less chances of getting injured,running,blood circulation
my second workout was running it was tiring,running,tiring
running 4 miles i felt like my knees were numb with sharp pain,running,"numb, sharp pain"
i did a 20mins running on a spot i felt tired,running,tired
running at least 4 block up and back down. i felt really tired but worked at it again.,running,tired
running a mile tired and happy,running,"tired, happy"
running in an area you know tired but productive,running,"tired, productive"
running is my second workout. i feel happy after performing the second workout.,running,happy
i went running for an hr i felt energized,running,energized
my first workout was running few miles thats so hard to me,running,hard
i was running  during and after the performance i felt very heavy and tired,running,"heavy, tired"
i am running three miles i feel very difficult in the first worout,running,difficult
i am running in first workout first workout difficult,running,difficult
my first workout would normally start with some running in place. i would feel good because my heart beat would be up and my blood is circulating through my body.,running in place,good
"i did 15 russian twists, which makes me feel invigorated",russian twists,invigorated
i performed some sets of crunches and push ups at home. i felt quite tired and sore both during and after.,sets of crunches and push ups,"tired, sore"
went out shooting some hoops with friends. need to really work on my shot.,shooting,work
i did shoulder press with dumb bells. i felt sore afterwards but pleased.,shoulder press,"sore, pleased"
"did 2 sets 12 reps shoulder press at 15lbs really hard, left shoulder hurts",shoulder press,"really hard, shoulder hurts"
this morning i did a strenuous shoulder workout  and now im sore,shoulder workout,sore
sit up and was exhausted,sit up,exhausted
i did 200 sit ups my stomach was so sore.,sit up,sore
i have just completed 100 sit ups. i felt out of shape and need improving.,sit up,"need improving, out of shape"
i did 20 sit up after i was done i could feel it in my stomach.,sit up,feel it
i did sit ups 15 times and i felt exhausted after.,sit ups,exhausted
i do 10 sit ups and i feel accomplished but also very tired.,sit ups,"accomplished, tired"
i do sit ups it burns my stomach in a good way,sit ups,burns
i did 40 sit ups my abs are killing me,sit ups,abs are killing me
i did 10 sit ups. it really hurt.,sit ups,hurt
i did fifty sit ups my stomach hurt,sit ups,hurt
"i beat my record, doing 100 sit ups. i feel absolutely accomplished!",sit ups,accomplished
"in my living room, i did 20 sit ups on the floor. i felt strained and out of shape.",sit ups,out of shape
i did 20 sit ups.  i felt out of shape.,sit ups,out of shape
i did three reps of 15 sit ups my abs were on fire.,sit ups,on fire
i did 3 sets of 20 sit ups i felt really out of shape,sit ups,out of shape
i just did 100 sit ups my abs are burning,sit ups,burning
i did ten sit ups i feel tired but still motivated to do more,sit ups,"tired, motivated"
i did 30 sit ups my stomach hurts so bar,sit ups,hurts
i did 40 sit ups in 2 minutes. i am really out of shape.,sit ups,out of shape
i did sit ups energized,sit ups,energized
i did some sit ups i totally felt the burn. hurt my stomach in a good way,sit ups,burn
i did 30 sit ups i thought i wasnt able to finish them,sit ups,wasnt able to finish
sit ups for 120 times it just killed my knee joints,sit ups,killed
i did 3 sets of 25 sit ups in the morning. my stomach was on fire and i felt really out of shape.,sit ups,"fire, out of shape"
i did ten weighted sit ups! i hope i can improve,sit ups,improve
i did some sit ups on the floor mat today. i felt very tired after i was finished.,sit ups,tired
i just did 300 sit ups i feel nauseous now,sit ups,nauseous
i did 5 sit ups today.  i feel real tired and drained.,sit ups,"tired, drained"
i did 10 sit ups today. i feel like i'm as out of shape as most 90 year olds.,sit ups,out of shape
i did 200 sit-ups and felt very energized.,sit-ups,energized
"i just did 25 sit-ups, and i felt tighten up",sit-ups,tighten up
i did 50 sit-ups i need to start doing more core workouts!,sit-ups,start doing more
i did two hundred sit-ups. i feel weak and rather hungry.,sit-ups,"weak, hungry"
"today, i did 100 sit-ups at home. i was tired and felt burning sensation in my stomach area.",sit-ups,"tired, burning sensation"
i did one hundred sit-ups. my stomach muscles are burning.,sit-ups,burning
i did 10 sit-ups. i feel out of shape.,sit-ups,out of shape
i just did 5 sets of 25 sit-ups. gosh my stomach is feeling it.,sit-ups,feeling it
i did 20 sit-ups. it was relaxing afterwards.,sit-ups,relaxing
i put 100 sittups it was very tough,sittups,tough
"i did 200 situps and my back became sore, so i felt bad",situps,bad
"did 100 situps in a row, it burns",situps,burns
i swam fifty situps  and i felt sluggish.,situps,sluggish
i did 30 situps. i'm starting to feel the burn.,situps,burn
second workout is situps  well it felt exhausting.,situps,exhausting
situps tired,situps,tired
i did 15 situps. i feel tired.,situps,tired
i did 100 situps.  my abs felt sore.,situps,sore
i did 100 situps i felt accomplished.,situps,accomplished
i did 25 situps. i felt tired and in pain.,situps,"tired, pain"
i just completed situps.  i have a weak core.,situps,weak
i just did 20 situps! i felt accomplished.,situps,accomplished
i did 100 situps. i could really feel the burn.,situps,burn
i did 100 situps. i felt accomplished.,situps,accomplished
i did 10 situps. i realized i'm not who i once was.,situps,not who i once was
i did 200 situps. i feel like i got run over by a truck.,situps,over by a truck
"i just did fifty situps and fifty vee-ups. my abs are burning, and i'm out of breath.",situps,"burning, out of breath"
i did 100 situps. it was kinda hard and felt kinda sick.,situps,"hard, sick"
i did 100 situps. my stomach is on fire.,situps,fire
i did 40 situps. this felt good in my abs.,situps,good
i just skated 13 miles across the city. i felt relaxed.,skated,relaxed
i skied 12 kilometers. i feel vigorous.,skied,vigorous
i skiied for an hour today it was hard but exhilarating,skiied,exhilarating
i skip for every day morning.this feel very beater,skip,very beater
i used skip everday feels great!!,skip,great
i skipped 200 times i felt tired,skipped,tired
i skipped rope for 15 minutes i felt great,skipped,great
i skipped for 30 minutes.  i feel athletic.,skipped,athletic
second exercise is skipping and i feel good body maintaining after doing that.,skipping,body maintaining
skipping. i feeling its very energetic and give flexibility to my hip.,skipping,energetic
skipping is one of the best game and exercise. i feel weight loss,skipping,weight loss
i do skipping it make me tired,skipping,tired
i do skipping for about 15-30 minutes per day i was so relaxing,skipping,relaxing
skipping i feel relax,skipping,relax
i do skipping for three months i felt tall,skipping,tall
i did a skipping feeling relaxed,skipping,relaxed
"10x20yd sled pushes felt good overall, pace dramatically slowed last 3 reps",sled pushes,"good, slowed"
i just did 50 snatches with a 20 lb. kettlebell. i feel alive!,snatches,alive
i snowshoed for 1 hour. i felt happy to be outside.,snowshoed,happy
1.5h soccer practice physical pain,soccer,pain
i just played soccer for an hour. my knees hurt.,soccer,hurt
i played softball for three hours. i was exhausting.,softball,exhausting
i just speed walked a 10 mile path. i feel very tired but refrshed.,speed walked,"tired, refrshed"
i started doing speed walking. exhausted and sore,speed walking,"exhausted, sore"
"speed walking a mile in under 20 min. i was so exhausted, hot and sore.",speed walking,"exhausted, hot, sore."
i did 1 hour of spinning after work i felt somewhat tired when i finished,spin,tired
i rode the spin bike for an hour. i felt great!,spin bike,great
i rode my spin bike for 20 minutes. my heart is beating rapidly.,spin bike,heart is beating rapidly
"i just took an hour long spin class, and i feel energized!",spin class,energized
i attended a spin class my legs are sore,spin class,sore
i just did a 20 minute spin class i can't feel my legs,spin class,can't feel my legs
i did an hour spin class i was exhausted,spin class,exhausted
i just took a 90 minute spin class i feel like throwing up!,spin class,throwing up
i did 30 minutes in a spin class. it was hard but i felt great after!,spin class,great
"i just did spin cycle for an hour. i felt out of breath but good, however my legs are sore and my butt hurts.",spin cycle,"out of breath, good, sore, butt hurts"
i completed a spin workout.  i felt very motivated.,spin workout,motivated
i went spinning for half an hour today i feel determined to make a habit of it,spinning,determined
i did 1 hour of spinning at home i felt very satisfied to complete the whole routine,spinning,satisfied
i took a one hour spinning class.  i feel refreshed and energized.,spinning,"refreshed, energized"
did split squats and felt exhausted.,split squats,exhausted
i just sprinted a mile. i feel exhausted!,sprinted,exhausted
i spent the past half hour running 50-yard and 100-yard sprints i need to lose some weight because i am so winded after just 10 minutes.,sprints,winded
i did ten 20 meter sprints i felt nauseous,sprints,nauseous
i played squash for 30min i felt great but my shoulders are sore,squash,sore
i performed 20 squats with dumbells my legs are sore,squat,sore
i had to squat 50 times  my legs feel like spaghetti,squat,spaghetti
squat is my second workout exercise. i felt energetic and fresh.,squat,"energetic, fresh"
i did the 100 squat challenge at the gym.  my legs now feel shaky.,squat,shaky
one set of squats now my legs hurt,squat,legs hurt
i did a 2 minute squat hold. my legs feel like jello.,squat hold,legs feel like jello
i felt very tired after doing some squat thrusts for 30 minutes.,squat thrusts,tired
"i performed 45 weighted squats, and i felt pumped up.",squats,pumped up
the core exercise being low bar squats and found them extremely taxing,squats,extremely taxing
i did 100 squats and felt great.,squats,great
my legs are burning from doing so many squats.,squats,legs are burning
i did squats and my legs were on fire!,squats,on fire
"squats, after my excersise my legs felt they were going to fall off",squats,fall off
i did 50 squats. my legs and butt are sore but i feel dedicated.,squats,"sore, dedicated"
i did 20 squats it made my heart rate go up and it felt good.,squats,"heart rate go up, good"
i did 30 squats. my legs felt like noodles.,squats,like noodles
i did ten heavy squats today. i feel very tired.,squats,tired
i did 50 squats. i felt sore in my thigh.,squats,sore
i did 10 squats i felt like i was going to puke,squats,going to puke
i started doing squats. i didn't feel great about it because they were not very fun activities.,squats,didn't feel great
squats felt strength,squats,strength
i did 25 squats my thighs hurted a lot,squats,hurted
squats i did squats and the following day my thighs were in so much pain,squats,pain
i just did 25 kettlebell squats. my legs feel weak!,squats,weak
i did 5 sets of squats my legs felt tired,squats,tired
i did squats for 7 minutes i felt incredibly tired and shaky at the end,squats,"tired, shaky"
i did 50 squats. i feel shaky and out of breath.,squats,"shaky, out of breath"
i did squats with my bodyweight my legs aren't strong enough,squats,aren't strong
i did 10 squats my legs felt like noodles,squats,felt like noodles
i did 50 squats my legs felt very tired,squats,tired
i've done 100 squats my legs are burning,squats,legs are burning
i just did heavy back squats. i was struggling to hit 80% of my max.,squats,struggling
i did ten squats. i feel more relaxed.,squats,relaxed
i did 60 squats it hurt my legs,squats,hurt
i did squats. i feel sore.,squats,sore
squats with weights very tired after workout,squats,very tired
i completed 100 squats. i felt invigorated.,squats,invigorated
i did some squats. i felt good.,squats,good
i did twenty squats. my butt is burning!,squats,burning
i did twenty five squats. my thighs are burning.,squats,burning
i just did 100 squats i felt awful,squats,awful
i did 15 squats. my thighs are on fire!,squats,fire
i just did half a mile of squats.  i felt like my legs were burning!,squats,burning
i did 15 squats i was exhausted.,squats,exhausted
10 squats for senior citizen felt better after first 3 squats,squats,better
50 squats without stopping! it felt invigorating!,squats,invigorating
i did 100 air squats  i need to work more on my legs,squats,work more
i did 50 squats my legs are shaking,squats,shaking
i did three sets of squats. my hamstrings felt a little tight.,squats,tight
i did 2 sets of squats. during the workout my legs were burning.,squats,burning
i did squats. i felt sore.,squats,sore
my second workout was squats i felt exhausted,squats,exhausted
i did 50 squats. my thighs feel like they're on fire!,squats,on fire
i performed 3 sets of squats at the gym it was challenging,squats,challenging
i just did squats for the first time in weeks. my legs are absolutely dead today.,squats,dead
my workout was squats i felt good,squats,good
i did 4 sets of squats on the squat rack my legs were shaking during the workout but afterwards i felt so energized,squats,"shaking, energized"
i did 30 squats. my legs are burning.,squats,burning
i did 70 squats. it was tiring.,squats,tiring
i decided to try to add squats to my routine during was no issue it was the second when it was really tough,squats,"no issue, tough"
i did 60 squats in my room i felt very refreshed,squats,refreshed
i just did 50 squats now my legs are shaky,squats,shaky
i did squats so i can have a killer butt  my butt muscles burned but it will all be worth it later!,squats,burned
i did squats it was a little rough,squats,rough
i did some dumbell squats it was a rough set.,squats,rough
i did 30 squats in the morning it was overwhelming,squats,overwhelming
did squats today instead didnt hurt as much after preforming the workout i felt accomplished,squats,accomplished
i did 40 squats with a 20 lb weight i felt exhausted.,squats,exhausted
i did 50 squats. my legs hurt,squats,hurt
i just squatted 300lbs for 15 reps. i felt strong but i'm also tired now.,squatted,strong
i squatted 250 pounds. my legs feel shaky.,squatted,shaky
i squatted 3x8. i felt strong and empowered.,squatted,"strong, empowered"
i squatted for the first time today. i felt exhausted after squatting.,squatted,exhausted
i squatted for 20 minutes i was exhausted afterwards,squatted,exhausted
i just squatted for five sets. i felt accomplished.,squatted,accomplished
i squatted 225 lbs. my hamstrings are incredibly sore and tired.,squatted,"sore, tired"
i used the stair climber machine for 30 minutes. i felt sore and exhausted afterwards.,stair climber,"sore, exhausted"
stair climber terrible,stair climber,terrible
i did 30 minutes on the stair climber machine i felt challenged and i was feeling my heart rate go up.,stair climber,challenged
i did 5 minutes on the stair machine. my thighs were very sore,stair machine,very sore
i did the stair master for 30 minutes today my legs felt tired after this exercise,stair master,tired
i did 30 minutes on the stair stepping machine my leg and butt muscles are burning,stair stepping,burning
i used the stair-climber machine for 3 minutes. i'm so exhausted!,stair-climber machine,exhausted
i did the stairclimber for 10 mins my knees hurt,stairclimb,hurt
i worked out for 10 minutes on the stairclimber it felt great and motivated me to do it again tomorrow.,stairclimber,"great, motivated"
stairclimbing for 5 minutes now my legs hurt and i'm gonna have a heart attack.,stairclimbing,"legs hurt, have a heart attack"
i did 30 minutes of the stairmaster and i am so exhausted now!,stairmaster,exhausted
i just did 30 mins of stairmaster. my legs are about to give out.,stairmaster,give out
i did 30 minutes on the stairmaster today. i was exhausted and sweating like a pig,stairmaster,"exhausted, sweating"
i climbed stairs for 100 floors and i felt pooped,stairs,pooped
i just walked stairs for 30 minutes. i felt energized.,stairs,energized
i climbed 7 flights of stairs. i feel winded.,stairs,winded
i walked up the stairs to work. my legs are exhausted.,stairs,exhausted
my second workout was a cardio workout where i ran up and down my stairs. i felt sweaty and tired.,stairs,"sweaty, tired"
i walked 13 flights of stairs. i did not enjoy it all like i do hiking,stairs,not enjoy
4 sets of standing dumbbell press on top of the world,standing dumbbell press,on top of the world
i completed a 3 minute static plank hold. i started sweating and my body began to tremble during the exercise.,static plank hold,"sweating, tremble"
"i did 30 minutes on a stationary bicycle.  my back feels nice, it really straightened out my neck.",stationary bicycle,nice
"i rode the stationary bicycle for 30 minutes. i felt good, not as bad as i thought.",stationary bicycle,good
i used the stationary bike for 30 minutes i felt winded in my first work out and realized i need to build up my endurance.,stationary bike,winded
i was only able to complete 1 mile on the stationary bike. i felt weak and like a failure because i didn't complete my goal.,stationary bike,weak
i rode a stationary bike for 60 minutes. i was exhausted.,stationary bike,exhausted
i rode eight miles on the stationary bike. my quads are so sore right now.,stationary bike,sore
i did 4 miles on the stationary bike.   i feel proud and energized.,stationary bike,"proud, energized"
i rode the stationary bike at moderate intensity for an hour my legs were tired but cardio wise i was fine,stationary bike,"tired, fine"
"i rode the stationary bike for 30 minutes today. it was tough going, but no i feel great.",stationary bike,tough
i did 20 miles on my stationary cycle. i feel exhilarated.,stationary cycle,exhilarated
i rode 30 minutes on a stationery bike my legs feel like jelly,stationery bike,jelly
i did a 45 minutes step class. the workout felt great while doing it but now my legs feel weak.,step class,"great, weak"
i did a step class at the gym today. i felt exhilarated.,step class,exhilarated
i just completed 15 minutes on the step machine. i am tired.,step machine,tired
i did a 15 minute step workout. i am not as fit as i thought i was.,step workout,not as fit
"i did a workout on the stepper at home. i started out strong, but got pretty tired by the end of the workout.",stepper,"strong, tired"
a few days ago i did stair steps  and now my heel is sore,steps,sore
i did my 10000 steps for the day feel good l completed my target of 10000 steps,steps,good
i performed stomach crunches. i felt toned.,stomach crunches,toned
i just did a 5minutes straight-arm plank it was horrible,straight-arm plank,horrible
strength exercises it make my muscles stronger.,strength,muscles stronger
i did strength training. i feel weak.,strength training,weak
i stretched for 10 minutes and i feel like it helped,stretched,like it helped
i stretched my legs for about ten minutes i feel great and ready for my work out,stretched,"great, ready"
i just stretched for 30 minutes.  it felt wonderful!,stretched,wonderful
i did 30 minutes stretches i was so sore but  i kept it up,stretches,sore
morning stretches better able to function,stretches,better
i did stretching exercises for fifteen minutes. i feel prepared for a longer workout.,stretching,prepared
i did some stretching exercises i feel more limber,stretching,limber
i did stretching exercises for 15 mintes i felt more relaxed after this workout,stretching,relaxed
twisted body for stretching could feel it but still felt good stretching,stretching,good
i did stretching exercises i felt relaxed,stretching,relaxed
i did some stretching exercises it was a bit boring but i feel better after doing this.,stretching,better
i spend 1 hours stretching i feel so sore!,stretching,sore
i just did 10 suicides that was the hardest ever,suicides,the hardest ever
i did 15 reps of sumo squats. my legs were sore after!,sumo squats,sore
i did yoga(suryanamaskar) at first i felt my body not adjusting and not very flexible but later i felt good.,suryanamaskar,"not very flexible, good"
i swam the length of the pool 10 times and felt satisfied.,swam,satisfied
i swam for an hour and was spent,swam,spent
i swam for twenty minutes and i felt like i could hardly breathe.,swam,i could hardly breathe
i swam for 30 minutes and felt refreshed,swam,refreshed
i swam three thousand feet and felt totally refreshed!,swam,refreshed
i swam a kilometre and felt pleasantly tired,swam,pleasantly tired
i swam for 1 hour and i am very tired.,swam,tired
i just swam 10 laps and i feel super energized,swam,energized
i swam 20 laps and i felt energized!,swam,energized
i swam three kilometer  i feel without energy,swam,without energy
i swam 1 mile i felt refreshed after swimming,swam,refreshed
i swam for 30 minutes. i felt nice afterwards!,swam,nice
i swam laps for 25 minutes. it was very challenging.,swam,challenging
i swam fifteen laps i felt strong,swam,strong
i swam fifteen laps i felt strong,swam,strong
i just swam two miles. i felt great afterwards.,swam,great
i swam in my pool for 20 minutes i was tired.,swam,tired
i swam 2 laps i was ecstatic after swimming,swam,ecstatic
"i swam 30 laps. i felt great, ready to start my day!",swam,"great, ready"
i just swam ten laps i feel great,swam,great
i swam for 30 minutes. i felt bursting with energy.,swam,bursting with energy
i swam 50 laps  i felt refreshed.,swam,refreshed
i swam laps in the pool dizzy during and after,swam,dizzy
i swam 2 miles. i felt energized.,swam,energized
i just swam two laps! i just ran two miles and i felt refreshed,swam,refreshed
i swam 200 laps. i felt winded.,swam,winded
i swam for 30 minutes i felt hungry,swam,hungry
i swam 2 laps i was tired afterwards,swam,tired
i swam two laps i felt refreshed,swam,refreshed
i swam for one hour. i feel energized.,swam,energized
"i swam 20 laps around the pool. it was refreshing, but very tiring.",swam,"refreshing, tiring"
i swam a mile. i feel like i'm made of lead.,swam,made of lead
i swam twenty laps i feel tired,swam,tired
i swam today i felt great like i could swim double my intending laps,swam,great
i swam for twenty minutes. i feel energetic.,swam,energetic
just swam my first 200 meters i feel completely energized,swam,energized
i swam laps for 30 mins in the y pool this afternoon. i hate the taste of chlorine!,swam,hate the taste
i swam laps for 30 minutes i felt refreshed,swam,refreshed
i just swam eleven pool laps. i am feeling recharged and invigorated.,swam,"recharged, invigorated"
i just swam arcoss the lake. afterwards i couldn't breathe.,swam,couldn't breathe
i swam 2400 yards. my shoulders felt tight.,swam,tight
i just swam for 40 minutes it felt wonderful!,swam,wonderful
i just swam 10 laps at the pool. i feel tired.,swam,tired
i swam 50 laps in the pool. my arms and legs are killing me!,swam,killing me
i swam some laps i felt tired and sore,swam,"tired, sore"
i swam for thirty minutes. i'm tired and thirsty.,swam,"tired, thirsty"
i swam 50 meters in the pool. i felt exhausted and out of breath.,swam,"exhausted, out of breath"
"swam pretty fast from the dock to the south bay and back, about one and a half miles. water was cold so it really felt good to push the swim. arms are spent!",swam,"good, spent"
i swam in the pool for 30 minutes today i felt rejuvenated!,swam,rejuvenated
i swam 50 laps in the pool.  i feel exhausted.,swam,exhausted
i swam two miles. i feel terrific.,swam,terrific
i just swam laps at the pool for 20 minutes. i feel refreshed,swam,refreshed
i just swam for 30 minutes i feel so very tired.,swam,tired
"i swam 20 laps tired, but was able to complete the workout i set out to",swam,"tired, complete"
i swam forty laps. i felt refreshed and energized.,swam,"refreshed, energized"
i swam 10 laps i could hardly breath and i was exhausted,swam,"hardly breath, exhausted"
i swam a mile today. i felt exhausted.,swam,exhausted
i swam for 40 minutes today my legs are sore and tired,swam,"sore, tired"
i just swam 10 laps in the pool of each style i felt so out of breath!,swam,out of breath
i swam two miles. i feel excited.,swam,excited
i have every evening i am swim in pool. i have very relax in my body.,swim,relax
i swim daily i get breath relaxation.,swim,breath relaxation.
just completed 15 lap swim. i felt good after the workout,swim,good
i swimmed the whole pool i felt energized,swimmed,energized
i went swimming for half an hour felt really good afterwards,swimming,good
boy im tired after swimming around the lake,swimming,tired
swimming gives a lot stress release,swimming,stress release
i went swimming at the y for an hour. i was tired when i got done swimming.,swimming,tired
i went swimming for two hours today.  i was exhausted afterwards.,swimming,exhausted
i went swimming at the pool. it was enjoyable.,swimming,enjoyable
i went swimming i felt good,swimming,good
i went swimming i love to swim,swimming,love
swimming i felt tired,swimming,tired
i was swimming for 30 min it felt fulfilling,swimming,fulfilling
i just got back from swimming laps at the pool. i forgot how tired i am after the pool.,swimming laps,tired
i swum ten laps in the pool. i felt exhilarated.,swum,exhilarated
i am every evening play a table tennis i am really out of shape,table tennis,out of shape
i played an hour table tennis on morning  i felt very energetic,table tennis,energetic
i played table tennis game today i feel strong,table tennis,strong
i participated in a taekwondo class. i felt focused.,taekwondo,focused
i just went to my taekwondo class.  all the kicks and jumping made my legs sore.,taekwondo,sore
i spent two hours practicing tap dancing at home.  i feel so beat and breathless.,tap dancing,"beat, breathless"
i played three tennis matches and my back hurts so much right now,tennis,hurts
i played tennis with my spouse and felt great!,tennis,great
i played several tennis matches and was worn out afterwards,tennis,worn out
i am played two hour tennis. i felt strong,tennis,strong
i played tennis at the park with a friend. i need to practice my tennis more!,tennis,need to practice
i played tennis with my dad i felt happy,tennis,happy
a played three hours of tennis. i felt amazing.,tennis,amazing
""" i played tennis for one hour."" "" i felt energized.""",tennis,energized
"i played tennis for an hour. i felt energized, excited, and happy.",tennis,"energized, excited, happy"
i played tennis for two hours i felt really tired,tennis,tired
